Sample	CoveredSite	MSIsensorScore
TCGA-02-2483-01A-01D-1494-08	656690	0.04
TCGA-02-2485-01A-01D-1494-08	575297	0.07
TCGA-04-1331-01A-01D-A324-10	496133	0.50
TCGA-04-1347-01A-01D-A324-10	553569	0.78
TCGA-04-1349-01A-01D-A324-10	661709	0.19
TCGA-04-1371-01A-01D-0516-08	743238	0.04
TCGA-04-1514-01A-01D-A324-10	544309	1.32
TCGA-04-1542-01A-01D-A312-08	867377	0.89
TCGA-05-4389-01A-01D-1931-08	504180	0.01
TCGA-05-4389	504180	0.01
TCGA-05-4395-01A-01D-2364-08	619214	0.13
TCGA-05-4395	619214	0.13
TCGA-05-4396-01A-21D-1855-08	656123	0.03
TCGA-05-4396	656123	0.03
TCGA-05-4397-01A-01D-1931-08	437718	0.04
TCGA-05-4397	437718	0.04
TCGA-05-4398-01A-01D-1931-08	728542	0.01
TCGA-05-4398	728542	0.01
TCGA-05-4420-01A-01D-1931-08	533043	0.08
TCGA-05-4420	533043	0.08
TCGA-05-4422-01A-01D-1931-08	591135	0.08
TCGA-05-4422	591135	0.08
TCGA-05-4432-01A-01D-1931-08	531136	0.02
TCGA-05-4432	531136	0.02
TCGA-05-5429-01A-01D-1625-08	665948	0.11
TCGA-05-5429	665948	0.11
TCGA-06-0125-01A-01D-1490-08	1112374	0.12
TCGA-06-0128-01A-01D-0572-09	98676	0.07
TCGA-06-0155-01B-01D-0932-09	765274	0.00
TCGA-06-0157-01A-01D-1491-08	708821	0.03
TCGA-06-0171-01A-02D-A33C-08	1096421	0.02
TCGA-06-0185-01A-01D-0507-08	460613	0.02
TCGA-06-0190-01A-01D-1491-08	718004	0.02
TCGA-06-0208-01A-01D-0512-09	156014	0.48
TCGA-06-0210-01A-01D-1491-08	1056080	0.02
TCGA-06-0211-01A-01D-1491-08	1157067	0.02
TCGA-06-0214-01A-02D-1491-08	750156	0.01
TCGA-06-0221-01A-01D-A32W-08	859248	0.01
TCGA-06-0648-01A-01D-0507-08	720173	0.06
TCGA-06-0686-01A-01D-1492-08	645838	0.06
TCGA-06-0745-01A-01D-1492-08	600777	0.05
TCGA-06-0877-01A-01D-0512-09	290950	0.07
TCGA-06-0881-01A-02D-0512-09	280111	0.02
TCGA-06-1086-01A-02D-0932-09	651135	0.06
TCGA-06-2557-01A-01D-1494-08	617107	0.07
TCGA-06-2570-01A-01D-1495-08	710674	0.02
TCGA-06-5411-01A-01D-1696-08	742401	0.04
TCGA-06-5415-01A-01D-1486-08	714849	0.03
TCGA-09-1666-01A-01D-A324-10	607460	0.87
TCGA-09-2045-01A-01D-A324-10	604383	0.14
TCGA-09-2050-01A-01D-A312-08	1010334	1.42
TCGA-10-0937-01A-02D-A324-10	531371	0.32
TCGA-10-0938-01A-02D-A312-08	929472	0.98
TCGA-13-0723-01A-02D-0447-09	342246	0.18
TCGA-13-0725-01A-01D-0465-08	789132	0.01
TCGA-13-0751-01A-01D-0446-08	869010	0.33
TCGA-13-0890-01A-01D-0447-09	327524	0.07
TCGA-13-0906-01A-01D-A312-08	978528	0.72
TCGA-13-0912-01A-01D-A312-08	978280	0.40
TCGA-13-1487-01A-01D-A312-08	1109029	1.01
TCGA-13-1491-01A-01D-A312-08	972448	1.31
TCGA-14-1034-01A-01D-1492-08	1096990	0.01
TCGA-14-1401-01A-01D-0703-09	726961	0.46
TCGA-14-1402-01A-01D-1493-08	1015576	0.09
TCGA-14-1454-01A-01D-0932-09	632997	0.06
TCGA-14-1459-01A-01D-0932-09	940929	0.05
TCGA-14-1823-01A-01D-1494-08	582221	0.04
TCGA-14-2554-01A-01D-1494-08	712932	0.01
TCGA-15-1444-01A-02D-1696-08	662228	0.05
TCGA-16-1063-01B-01D-0932-09	715165	0.09
TCGA-16-1460-01A-01D-0932-09	796730	0.01
TCGA-18-3408-01A-01D-A320-08	747258	0.04
TCGA-18-3415-01A-01D-A320-08	924439	0.06
