Sample	CoveredSite	MSIsensorScore
TCGA-05-4389	3632	0.30
TCGA-05-4395	792	4.17
TCGA-05-4396	1465	3.00
TCGA-05-4397	2714	2.36
TCGA-05-4398	4049	0.44
TCGA-05-4420	3373	3.32
TCGA-05-4422	4408	1.81
TCGA-05-4432	1275	4.24
TCGA-05-5429	1355	14.98
TCGA-38-4628	168	13.69
TCGA-44-3918	2270	0.40
TCGA-44-4112	12317	0.25
TCGA-44-6146	1899	2.00
TCGA-44-6147	1768	0.00
TCGA-44-6148	2167	0.00
TCGA-44-6775	1871	0.00
TCGA-49-4486	1238	0.00
TCGA-49-4510	1647	2.43
TCGA-49-4512	3511	0.28
TCGA-49-6742	5653	0.00
TCGA-50-5930	2898	0.00
TCGA-50-5932	1805	2.44
TCGA-50-6591	1381	0.00
TCGA-50-6597	2525	0.20
TCGA-67-6215	1807	0.89
TCGA-73-4659	1867	0.00
TCGA-73-4666	1666	0.12
TCGA-75-5147	827	0.97
TCGA-A5-A0G9	1158	0.35
TCGA-A5-A0GE	1880	3.14
TCGA-A5-A0GJ	2082	0.77
TCGA-AP-A054	1382	4.78
TCGA-AP-A0L8	3087	2.98
TCGA-AP-A0L9	1807	15.66
TCGA-AP-A0LD	1684	3.56
TCGA-AP-A0LH	3081	1.79
TCGA-AP-A0LI	2547	4.00
TCGA-AP-A0LL	1795	1.00
TCGA-AP-A0LO	3295	0.00
TCGA-AX-A0J1	2668	1.46
TCGA-B5-A0JN	1753	2.22
TCGA-B6-A0RE	2027	2.71
TCGA-BA-4076	1680	1.37
TCGA-BA-4077	1988	0.05
TCGA-BA-5149	2128	3.24
TCGA-BA-5153	1535	0.00
TCGA-BB-4225	1971	1.78
TCGA-BH-A0H6	2078	0.00
TCGA-BJ-A0Z2	1727	0.23
TCGA-BJ-A0ZB	2051	0.15
TCGA-BJ-A191	1870	0.00
TCGA-BL-A0C8	2184	0.82
TCGA-BL-A13J	2948	2.65
TCGA-BR-4255	1594	0.06
TCGA-BR-4280	1777	2.03
TCGA-BR-6452	1294	3.25
TCGA-BR-6456	1317	0.00
TCGA-BR-6564	2601	0.08
TCGA-BS-A0TC	1298	1.23
