Sample	CoveredSite	MSIsensor
TCGA-05-4249	1569	2.36
TCGA-05-4250	5453	2.02
TCGA-05-4382	1941	4.74
TCGA-05-4384	3922	3.34
TCGA-05-4389	3632	0.30
TCGA-05-4390	2933	1.19
TCGA-05-4395	792	4.17
TCGA-05-4396	1465	3.00
TCGA-05-4397	2714	2.36
TCGA-05-4398	4049	0.44
TCGA-05-4402	1037	0.00
TCGA-05-4403	1204	0.00
TCGA-05-4405	1701	0.29
TCGA-05-4410	3086	0.16
TCGA-05-4415	2801	1.25
TCGA-05-4417	2629	0.11
TCGA-05-4418	973	0.00
TCGA-05-4420	3373	3.32
TCGA-05-4422	4408	1.81
TCGA-05-4424	1878	1.49
TCGA-05-4425	3208	0.31
TCGA-05-4426	992	13.91
TCGA-05-4427	2373	5.56
TCGA-05-4430	1366	9.37
TCGA-05-4432	1275	4.24
TCGA-05-4433	1857	1.56
TCGA-05-4434	1119	11.53
TCGA-05-5429	1355	14.98
TCGA-05-5715	4523	2.19
TCGA-35-4122	1186	2.61
TCGA-35-4123	925	2.27
TCGA-38-4628	168	13.69
TCGA-38-4629	1184	6.25
TCGA-38-4631	4368	0.16
TCGA-38-4632	8511	0.21
TCGA-38-6178	2157	2.69
TCGA-44-2661	518	14.29
TCGA-44-3396	1683	20.26
TCGA-44-3918	2270	0.40
TCGA-44-3919	2115	6.24
TCGA-44-4112	12317	0.25
TCGA-44-5643	5403	0.26
TCGA-44-6144	2344	0.77
TCGA-44-6145	2372	22.72
TCGA-44-6146	1899	2.00
TCGA-44-6147	1768	0.00
TCGA-44-6148	2167	0.00
TCGA-44-6774	1488	0.00
TCGA-44-6775	1871	0.00
TCGA-44-6776	3178	0.25
TCGA-44-6777	3897	0.00
TCGA-44-6778	3357	2.06
TCGA-44-6779	2223	2.38
TCGA-49-4486	1238	0.00
TCGA-49-4488	3889	1.75
TCGA-49-4494	1352	0.00
TCGA-49-4501	1123	0.00
TCGA-49-4505	979	0.00
TCGA-49-4506	1561	0.00
TCGA-49-4507	1847	0.05
TCGA-49-4510	1647	2.43
TCGA-49-4512	3511	0.28
TCGA-49-6742	5653	0.00
TCGA-49-6743	4388	0.00
TCGA-49-6744	2859	0.00
TCGA-49-6745	3171	0.22
TCGA-49-6767	1149	0.00
TCGA-50-5045	1338	0.45
TCGA-50-5049	2667	2.74
TCGA-50-5051	1633	1.41
TCGA-50-5055	1947	11.25
TCGA-50-5930	2898	0.00
TCGA-50-5931	2436	1.56
TCGA-50-5932	1805	2.44
TCGA-50-5933	2408	0.00
TCGA-50-5935	2516	0.00
TCGA-50-5939	3000	0.00
TCGA-50-5941	2821	0.00
TCGA-50-5944	1086	0.18
TCGA-50-5946	1512	1.72
TCGA-50-6591	1381	0.00
TCGA-50-6592	2026	0.00
TCGA-50-6593	1326	13.05
TCGA-50-6594	2237	2.41
TCGA-50-6597	2525	0.20
TCGA-55-6543	2074	3.09
TCGA-55-6642	2188	4.07
TCGA-55-6712	2698	1.52
TCGA-64-5774	2900	1.83
TCGA-64-5775	1436	0.07
TCGA-64-5778	1606	0.19
TCGA-64-5779	1200	0.00
TCGA-64-5781	1783	0.00
TCGA-64-5815	3269	0.58
TCGA-67-6215	1807	0.89
TCGA-67-6216	1810	0.61
TCGA-67-6217	3962	0.03
TCGA-71-6725	4334	1.06
TCGA-73-4658	4585	0.72
TCGA-73-4659	1867	0.00
TCGA-73-4662	1393	0.22
TCGA-73-4666	1666	0.12
TCGA-73-4668	1834	0.00
TCGA-73-4670	1628	0.00
TCGA-73-4675	1711	0.00
TCGA-73-4676	2277	1.23
TCGA-73-4677	1468	0.41
TCGA-75-5122	3020	0.00
TCGA-75-5125	3451	0.14
TCGA-75-5126	2910	0.27
TCGA-75-5146	784	1.28
TCGA-75-5147	827	0.97
TCGA-75-6205	2176	0.18
TCGA-75-6206	2026	0.35
TCGA-86-6562	2739	0.00
TCGA-91-6828	2657	0.04
